,Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
243,berkcoskunofficial,Berk Coşkun,3500000.0,5600000.0,194200.0,2900.0,4500.0
244,ser.geybin,Ser Geybin,1700000.0,3800000.0,383500.0,2200.0,3300.0
245,anthpo,Anthony Po,688300.0,1700000.0,414200.0,4700.0,6900.0
246,erikarichardo,erika,7900000.0,4600000.0,578700.0,2500.0,472.0
247,thegnshow,The Graham Norton Show,1200000.0,4900000.0,491000.0,807.0,2500.0
248,cx_.q,مصطفى البصراوي 62,2100000.0,3900000.0,234700.0,3100.0,5400.0
249,owen.han,MANGIAMOH,1500000.0,4800000.0,376200.0,1200.0,3100.0
250,keniaos,KeniaOs,13700000.0,2200000.0,371200.0,7500.0,2000.0
251,angryreactions,Oneya D’Amelio,25800000.0,2800000.0,406200.0,6200.0,680.0
252,saraecheagaray,sara,7000000.0,3600000.0,700700.0,2000.0,1000.0
253,ana_eusse,Ana Maria,10500000.0,4400000.0,665500.0,2100.0,560.0
254,ani__mel,Melody 🌱,798600.0,1900000.0,359700.0,2700.0,8500.0
255,julianjacob,Julian Jacob,1200000.0,3800000.0,496500.0,2400.0,1600.0
256,averywit,Avery,1000000.0,5400000.0,724100.0,1600.0,293.0
257,buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1800000.0,1600000.0,228800.0,18500.0,1900.0
258,emilythetrimmer,Emily Mohring,492600.0,5800000.0,267900.0,1700.0,3100.0
259,fabru_blacutt,Fabru,17000000.0,5300000.0,544800.0,1900.0,642.0
260,yoangelolo,Angelo Bahu,1200000.0,2400000.0,224300.0,12200.0,1500.0
261,virginiafonseca,Virginia,30600000.0,4400000.0,566400.0,2300.0,679.0
262,haritsuuu,ハリツ🌿極,1300000.0,4099999.9999999995,158100.0,4900.0,6400.0
263,thekapelariz,The Kapelari Family,1100000.0,2800000.0,464200.0,3500.0,2100.0
264,camavinga,Eduardo Camavinga,1000000.0,3300000.0,522299.99999999994,2500.0,1600.0
265,feezius,feezius,2100000.0,4000000.0,525800.0,2800.0,654.0
266,lights.are.off,LIGHTS ARE OFF,18700000.0,2900000.0,292700.0,6300.0,2100.0
267,benjaminmaissecret,benjamin,174400.0,7000000.0,39200.0,24000.0,1700.0
268,calebrownn,Cale Brown,5000000.0,2700000.0,459500.0,1500.0,4200.0
269,realuser_1,Jrm,1600000.0,4099999.9999999995,411500.0,2500.0,1700.0
270,anas_elshayib,انس الشايب,3600000.0,4600000.0,194000.0,6100.0,1800.0
271,caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15200000.0,3500000.0,691500.0,2500.0,428.0
272,hi_arvans,arvanss,201400.0,1300000.0,320300.0,1200.0,15500.0
273,theestallion,Megan Thee Stallion,10900000.0,1900000.0,499700.0,4400.0,2900.0
274,rubentuestaok,Ruben Tuesta,12300000.0,4500000.0,418300.0,1100.0,2600.0
275,kingbach,KingBach,26300000.0,3100000.0,582200.0,1800.0,2000.0
276,rdcworld1,Mark Phillips,2800000.0,1800000.0,336000.0,2300.0,9100.0
277,anna..paull,Anna Paul,3000000.0,2800000.0,655600.0,2900.0,838.0
278,drewafualo,Drew Afualo,6800000.0,2200000.0,446500.0,5100.0,2100.0
279,scottkress_,scottkress,2900000.0,1500000.0,402700.0,7400.0,4100.0
280,dixiedamelio,dixie,57200000.0,4400000.0,275200.0,4600.0,1100.0
281,nianaguerrero,Niana Guerrero,30500000.0,3200000.0,493000.0,2700.0,1700.0
282,benoftheweek,ben de almeida,10600000.0,3500000.0,512799.99999999994,3100.0,722.0
283,maiaknight,Maia Knight,8100000.0,3500000.0,628800.0,2500.0,647.0
284,theovon,Theo Von,1400000.0,2400000.0,230600.0,2700.0,9800.0
285,abbieherbert,AbbieHerbert,12200000.0,4600000.0,619200.0,1600.0,772.0
286,yazidoe,YaziDoe,958900.0,2000000.0,297400.0,2800.0,8400.0
287,loewhaley,Laura,1400000.0,2500000.0,232000.0,1200.0,10600.0
288,georgieanthony,georgie munoz,2200000.0,1800000.0,294300.0,3000.0,9500.0
289,.blue_devil,Why Not ? ✧,941900.0,4800000.0,486400.0,1500.0,1300.0
290,ya_gazdanova,Нина Газданова,3400000.0,3700000.0,184000.0,932.0,8800.0
291,piperrockelle,Piperrockelle,9000000.0,2400000.0,275400.0,9300.0,517.0
292,incorrectlyroce,Roce Ordoñez,5000000.0,3100000.0,499500.0,1900.0,2200.0
293,wayeelkaboy10,Wayeelka boy10,852400.0,3700000.0,169600.0,5600.0,4300.0
294,joaoferdnan,João Ferdnan,7400000.0,2000000.0,238500.0,4200.0,9100.0
295,simpleputin,Просто Путин,6000000.0,3100000.0,157900.0,10600.0,2200.0
296,chapaevva,чапаева,1900000.0,3800000.0,347700.0,2900.0,1700.0
297,lyna_com,lyna_com2000,4400000.0,3400000.0,451300.0,3000.0,1100.0
298,arigameplays,AriGameplays,19300000.0,2600000.0,444600.0,4500.0,915.0
299,tommyinnit,Tommy,11500000.0,1500000.0,432100.0,7600.0,1900.0
300,arigameplays,AriGameplays,19300000.0,2600000.0,444600.0,4500.0,915.0
301,tommyinnit,Tommy,11500000.0,1500000.0,432100.0,7600.0,1900.0
302,alexisomman,Alexis Omman,9200000.0,1600000.0,330000.0,5100.0,6500.0
303,samadhiza_,samadhiza,7400000.0,3700000.0,418300.0,2100.0,1800.0
304,joerauth_,Joe rauth,4900000.0,2900000.0,463000.0,1600.0,2900.0
305,danielarodrice,Daniela Rodrice,9900000.0,4200000.0,735700.0,1500.0,391.0
306,official_kep1er,Kep1er,3500000.0,1800000.0,395000.0,5500.0,2700.0
307,sucss.s,Açucena Guirra,9700000.0,2600000.0,468100.0,3000.0,1900.0
308,veydi_rush,veydi_rush,8000000.0,2900000.0,456800.0,2600.0,1800.0
309,davidsiwonchoi,최시원 • Siwon Choi,1900000.0,1300000.0,314300.0,8600.0,5600.0
310,livvy,Olivia Dunne,5100000.0,2700000.0,316000.0,4900.0,1800.0
